Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Hepatitis B,itching,fatigue,lethargy,dark_urine
Hyperthyroidism,fatigue,mood_swings,restlessness,sweating
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Malaria,chills,vomiting,sweating,headache
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Pneumonia,chills,fatigue,cough,high_fever
Typhoid,chills,vomiting,fatigue,high_fever
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Pneumonia,chills,fatigue,cough,high_fever
Pneumonia,chills,fatigue,cough,high_fever
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
GERD,stomach_pain,acidity,vomiting,cough
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Typhoid,chills,vomiting,fatigue,high_fever
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Varicose veins,fatigue,cramps,bruising,obesity
Pneumonia,chills,fatigue,cough,high_fever
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Heart attack,vomiting,breathlessness,sweating,chest_pain
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Heart attack,vomiting,breathlessness,sweating,chest_pain
Common Cold,continuous_sneezing,chills,fatigue,cough
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases
Varicose veins,fatigue,cramps,bruising,obesity
Jaundice,itching,vomiting,fatigue,weight_loss
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Pneumonia,chills,fatigue,high_fever,breathlessness
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Tuberculosis,chills,vomiting,fatigue,weight_loss
Impetigo,high_fever,blister,red_sore_around_nose,yellow_crust_ooze
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Chicken pox,itching,skin_rash,fatigue,lethargy
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Heart attack,vomiting,sweating,chest_pain,
Typhoid,chills,fatigue,high_fever,headache
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Hypothyroidism,fatigue,cold_hands_and_feets,mood_swings,lethargy
Acne,skin_rash,pus_filled_pimples,blackheads,
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger
Jaundice,itching,vomiting,fatigue,weight_loss
Tuberculosis,chills,vomiting,fatigue,weight_loss
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Chicken pox,itching,skin_rash,lethargy,high_fever
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,
Heart attack,vomiting,breathlessness,sweating,chest_pain
Jaundice,itching,vomiting,fatigue,weight_loss
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Jaundice,itching,vomiting,fatigue,weight_loss
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Arthritis,muscle_weakness,swelling_joints,movement_stiffness,painful_walking
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Acne,skin_rash,blackheads,scurring,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Heart attack,breathlessness,sweating,chest_pain,
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Diabetes ,fatigue,restlessness,lethargy,irregular_sugar_level
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Tuberculosis,chills,vomiting,fatigue,weight_loss
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Chicken pox,itching,skin_rash,fatigue,lethargy
Chicken pox,itching,skin_rash,fatigue,lethargy
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Chicken pox,itching,skin_rash,fatigue,lethargy
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,lethargy
Dengue,skin_rash,chills,joint_pain,vomiting
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Varicose veins,fatigue,cramps,bruising,obesity
Acne,skin_rash,pus_filled_pimples,blackheads,
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Typhoid,chills,vomiting,fatigue,high_fever
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
AIDS,muscle_wasting,high_fever,extra_marital_contacts,
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Typhoid,chills,vomiting,fatigue,high_fever
Hepatitis D,joint_pain,fatigue,yellowish_skin,dark_urine
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Tuberculosis,chills,vomiting,fatigue,weight_loss
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Jaundice,itching,vomiting,fatigue,weight_loss
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Hepatitis E,joint_pain,vomiting,fatigue,yellowish_skin
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Chicken pox,itching,skin_rash,fatigue,lethargy
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Impetigo,skin_rash,high_fever,blister,yellow_crust_ooze
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Hypothyroidism,fatigue,weight_gain,mood_swings,lethargy
Heart attack,vomiting,breathlessness,sweating,chest_pain
Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger
Jaundice,itching,vomiting,fatigue,weight_loss
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Diabetes ,fatigue,weight_loss,restlessness,irregular_sugar_level
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Drug Reaction,itching,skin_rash,burning_micturition,spotting_ urination
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Allergy,continuous_sneezing,shivering,chills,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Jaundice,itching,vomiting,fatigue,weight_loss
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Dengue,skin_rash,chills,joint_pain,vomiting
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Heart attack,vomiting,breathlessness,sweating,chest_pain
Chicken pox,itching,skin_rash,fatigue,lethargy
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Drug Reaction,itching,skin_rash,burning_micturition,spotting_ urination
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Varicose veins,fatigue,cramps,bruising,obesity
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Heart attack,vomiting,sweating,chest_pain,
Common Cold,continuous_sneezing,chills,fatigue,cough
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
GERD,stomach_pain,acidity,ulcers_on_tongue,cough
Dengue,skin_rash,joint_pain,vomiting,fatigue
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Dimorphic hemmorhoids(piles),pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus
Common Cold,continuous_sneezing,chills,fatigue,cough
Common Cold,continuous_sneezing,chills,fatigue,high_fever
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Malaria,chills,vomiting,high_fever,headache
Tuberculosis,chills,vomiting,fatigue,weight_loss
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Hepatitis B,itching,fatigue,lethargy,dark_urine
Hepatitis E,vomiting,fatigue,high_fever,yellowish_skin
Jaundice,itching,vomiting,fatigue,weight_loss
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Pneumonia,chills,fatigue,cough,high_fever
Hepatitis C,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Dengue,skin_rash,chills,joint_pain,vomiting
Pneumonia,chills,fatigue,cough,high_fever
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Osteoarthristis,joint_pain,neck_pain,knee_pain,swelling_joints
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration
Jaundice,itching,vomiting,fatigue,weight_loss
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hypoglycemia,vomiting,anxiety,sweating,headache
Varicose veins,fatigue,cramps,bruising,obesity
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Acne,skin_rash,blackheads,scurring,
Varicose veins,fatigue,cramps,bruising,obesity
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Typhoid,chills,vomiting,fatigue,high_fever
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Dengue,skin_rash,chills,joint_pain,vomiting
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Typhoid,chills,vomiting,fatigue,high_fever
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Dimorphic hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Malaria,chills,high_fever,sweating,headache
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
AIDS,muscle_wasting,high_fever,extra_marital_contacts,
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Typhoid,chills,vomiting,fatigue,high_fever
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Arthritis,stiff_neck,swelling_joints,movement_stiffness,painful_walking
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hyperthyroidism,fatigue,mood_swings,weight_loss,sweating
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Jaundice,itching,vomiting,fatigue,weight_loss
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Allergy,continuous_sneezing,shivering,watering_from_eyes,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,loss_of_balance
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Chicken pox,itching,fatigue,lethargy,high_fever
Varicose veins,fatigue,bruising,obesity,swollen_legs
Malaria,vomiting,high_fever,sweating,headache
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Typhoid,chills,vomiting,fatigue,high_fever
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Tuberculosis,chills,vomiting,fatigue,weight_loss
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hepatitis B,itching,lethargy,yellowish_skin,dark_urine
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Chicken pox,itching,skin_rash,fatigue,lethargy
Jaundice,itching,vomiting,fatigue,weight_loss
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Malaria,chills,vomiting,high_fever,sweating
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Acne,skin_rash,blackheads,scurring,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Typhoid,chills,vomiting,fatigue,high_fever
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Dengue,chills,joint_pain,vomiting,fatigue
Malaria,chills,vomiting,high_fever,sweating
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Dengue,skin_rash,joint_pain,vomiting,fatigue
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine
(vertigo) Paroymsal  Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Chicken pox,itching,skin_rash,fatigue,lethargy
Hyperthyroidism,fatigue,mood_swings,weight_loss,sweating
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
AIDS,muscle_wasting,high_fever,extra_marital_contacts,
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Dengue,skin_rash,chills,joint_pain,vomiting
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Varicose veins,fatigue,cramps,bruising,obesity
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Heart attack,vomiting,sweating,chest_pain,
Heart attack,vomiting,breathlessness,chest_pain,
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Heart attack,vomiting,breathlessness,sweating,chest_pain
Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite
Dengue,skin_rash,chills,joint_pain,vomiting
Tuberculosis,chills,vomiting,fatigue,weight_loss
Hepatitis B,fatigue,lethargy,yellowish_skin,dark_urine
Arthritis,muscle_weakness,swelling_joints,movement_stiffness,painful_walking
Varicose veins,fatigue,cramps,bruising,obesity
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Tuberculosis,chills,vomiting,fatigue,weight_loss
Tuberculosis,chills,vomiting,fatigue,weight_loss
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Varicose veins,fatigue,cramps,bruising,swollen_legs
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hypertension ,headache,chest_pain,dizziness,lack_of_concentration
Varicose veins,fatigue,cramps,bruising,obesity
Heart attack,breathlessness,sweating,chest_pain,
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hepatitis C,fatigue,nausea,loss_of_appetite,yellowing_of_eyes
Pneumonia,chills,fatigue,cough,high_fever
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Pneumonia,chills,fatigue,cough,high_fever
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Hypothyroidism,fatigue,weight_gain,mood_swings,lethargy
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Pneumonia,chills,fatigue,cough,high_fever
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
GERD,acidity,ulcers_on_tongue,vomiting,cough
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history
Typhoid,chills,vomiting,fatigue,high_fever
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Dengue,skin_rash,chills,joint_pain,vomiting
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Dengue,skin_rash,chills,joint_pain,vomiting
Pneumonia,chills,cough,high_fever,breathlessness
Fungal infection,itching,skin_rash,nodal_skin_eruptions,
Gastroenteritis,vomiting,dehydration,diarrhoea,
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Varicose veins,fatigue,cramps,obesity,swollen_legs
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Typhoid,chills,vomiting,fatigue,high_fever
Typhoid,chills,vomiting,fatigue,high_fever
Jaundice,itching,vomiting,fatigue,weight_loss
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hepatitis B,itching,lethargy,yellowish_skin,dark_urine
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Common Cold,continuous_sneezing,chills,cough,high_fever
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,
Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration
Malaria,chills,vomiting,high_fever,sweating
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Jaundice,itching,vomiting,fatigue,weight_loss
